dia,mes,"fraseTexto"
23,2,"Acuérdate del día de reposo para santificarlo. ÉXODO 20,8"
24,2,"No temerás el terror nocturno. SALMOS 91,5"
25,2,"A su amado dará Dios el sueño . SALMOS 127,2"
26,2,"Jehová es m i pastor;nada me faltará. SALMOS 127,2"
27,2,"En Dios solamente está acallada mi alma. SALMOS 62,1"
28,2,"Por nada estéis afanosos. FILIPENSES 4,6"
1,3,"¡Oh, cuánto amo yo tu ley! Me has hecho más sabio.SALMOS 119,97-98"
2,3,"No me apartaré de tus juicios, porque tú me enseñaste. SALMOS 119,102"
3,3,"Lámpara es a mis pies tu palabra, y lumbrera a mi camino. SALMOS 119,105"
4,3,"De tus mandamientos he adquirido inteligencia… SALMOS 32,8"
5,3,"…por tanto, he aborrecido todo camino de mentira . SALMOS 119,104b"
6,3,"El testimonio de Jehová es fiel, que hace sabio al sencillo. SALMOS 19,7"
7,3,"El temor de Jehová es el principio de la sabiduría, y el conocimiento del santísimo es la inteligencia. PROVERBIOS 9,10"
8,3,"Por Jehová son ordenados los pasos del hombre, y él aprueba su camino.SALMOS 37,23"
9,3,"Encomienda a Jehová tu camino,y confía en él;y él hará. SALMOS 37,5"
10,3,"Me has guiado según tu consejo, y despúes me recibirás en gloria. SALMOS 73,24"
11,3,"Dios es el que me ciñe de poder , y quien hace perfecto camino. SALMOS 73,24"
12,3,"Te haré entender , y te enseñaré el camino en que debes andar ; sobre ti fijaré mis ojos. SALMOS 32,8"
13,3,"Por eso estimé rectos todos tus mandamientos sobre todas las cosas , y aborrecí todo camino de mentira . SALMOS 119,128"
14,3,"Mucha paz tienen los que amen tu ley , y no hay para elos tropiezos. SALMOS 119,165"
15,3,"Guíame , Jehová , en tu justicia, a causa de mis enemigos; endereza delante de mí tu camino. SALMOS 5,8"
16,3,"Tus oídos oirán a tus espaldas palabras que diga: Este es el camino, andad popr él. ISAIAS 30,21"
17,3,"Reconócelo en todos tus caminos , y él enderezará tus caminos, y él enderezará tus veredas. PROVERBIOS 3,6"
18,3,"Porque Jehová da la sabiduría, y de su boca viene el conocimiento y la inteligencia. PROVERBIOS 2,6"
19,3,"El hacer tu voluntad, Dios mío, me ha agradado, y tu ley está en medio de mi corazón.SALMO 40,8"
20,3,"Y si alguno de vosotros tiene falta de sabiduría, pídala a Dios . SANTIAGO 1,5"
21,3,"La sabiduría , pídala a Dios. SANTIAGO 1,5"
22,3,"Encaminará a los humildes por el juicio, y enseñará a los mansos su carrera. SALMOS 25,9"
23,3,"El proveé de sana sabiduría a los rectos; es escudo a los que caminan rectamente . PROVERBIOS 2,7"
24,3,"La sabiduría que es de lo alto es primeramente pura. SANTIAGO 3,17"
25,3,"Enséñame. Oh Jehová, tu camino; camiré yo en tu verdad. SALMOS 86,11"
26,3,"Yo soy Jehová Dios tuyo, que te enseña provechosamente,que te encamina. ISAÍAS 48,17"
27,3,"No seas sabio en tu propia opinión; teme a  jehová, y apártate del mal . PROVERBIOS 3,7"
28,3,"Mis ovejas oyen mi voz, y yo las conozco,y me siguen. JUAN 1,27"
29,3,"Por tu nombre me guiarás y me encaminarás. SALMOS 31,3"
30,3,"Tu buen espíritu me guíe a tierra de rectitud. SALMOS 143,10"
31,3,"Encamíname en tu verdad,y enséñame. SALMOS 25,5"
1,4,"Bienaventurados los pacificadores, porque ellos serán llamados hijos de Dios. MATEO 5,9"
2,4,"Mucha paz tienen los que aman tu ley. SALMOS 119,165"
3,4,"Tú guardarás en completra paz a aquel cuyo pensamiento en ti persevera. ISAIAS 26,3"
4,4,"Yvino y anunció la buenas nuevas de paz a vosotros que estabaís lejos, y a los que estaban cerca . EFESIOS 2,17"
5,4,"No se apartará de ti mi misericordia, ni el pacto de mi paz se quebrantará .ISAIAS 54,10"
6,4,"En paz me acostaré,y asi mismo dormiré ; porque solo tú , Jehová,me haces vivir confiado. SALMOS 4,8"
7,4,"Porque  el ocuparse de la carne es muerte , pero el ocuparse del Espíritu es vida y paz . ROMANOS 8,6 "
8,4,"Gracias y paz a vosotros , de Dios nuestro Padre y del Señor Jesucristo. ROMANOS 1,7"
9,4,"¡Gloria a Dios en las alturas , y en la tierra paz , buena voluntad para con los hombres ! LUCAS 2,14"
10,4,"Porque yo sé los pensamientos que tengo acerca de vosotros , dice Jehová, pensamientos de paz, y no de mal. JEREMÍAS 29,11"
11,4,"Seguid la paz con todos , y la sanidad, sin la cual nadie verá al Señor .HEBREOS 12,14"
12,4,"Aboliendo en su carne las enemistades,…haciendo la paz. EFESIOS 2,15"
13,4,"Solícitos en guardar la unidad del Espíritu en el vínculo de la paz. EFESIOS 4,3"
14,4,"Y el Dios de paz… os haga aptos en toda obra buena .HEBREOS 13,20-21"
15,4,"Justificados, pues, por la fe ,tenemos paz para con DIOS. Romanos 5,1"
16,4,"Por nada estéis afanosos, sino sean conocidas vuestras peticiones delante de Dios. FILIPENSES 4,6"
17,4,"Y la paz de Dios,que sobrepasa todo entendimiento , guardará vuestros corazones y vuestros pensamientos . FILIPINAS 4,7"
18,4,"Y el Dios de paz aplastará en breve a Satanás bajo vuestros pies. ROMANOS 16,20"
19,4,"El Dios de paz y de amor estará con vosotros . 2 CORINTIOS 13,11"
20,4,"La paz os dejo,mi paz os doy; yo  no os la doy como el mundo la da. JUAN 14,27"
21,4,"Estas cosas os he hablado para que en mí tengáis paz . JUAN 16,33"
22,4,"Entonces Jesús les dijo otra vez : Paz a vosotros. JUAN 20,21"
23,4,"Y el mismo Señor de paz os dé siempre paz en toda manera. 2TESALONICENSES  3,16"
24,4,"Jehová alce sobre ti su rostro , y ponga en ti paz. NÚMEROS "
25,4,"Esto haced; y el Dios de paz estarácon vosotros. FILIPENSES 4,9"
26,4,"Yla paz de Dios gobierne en vuestros corazones. COLOSENSES 3,15"
27,4,"Misericordia y paz y amor os sean multiplicados. JUDAS 2 "
28,4,"Porque largura de dias y años de vida y paz te aumentarán . PROVERBIOS 3,2"
29,4,"Jehová bendecirá a su pueblo con paz . SALMOS 29,11"
30,4,"Él es nuestra paz. EFESIOS 2,14"
1,5,"Pedid, y se os dará; buscad, y hallaréis ; llamad, y se os abrirá. MATEO 7,7"
2,5,"Mirad las aves del cielo, que no siembran,ni siegan, ni recogen en graneros; y vuestros Padre celestial las alimenta . MATEO 6,26"
3,5,"¿Cuánto más vuestro Padre que está en los cielos dará buenas cosas a los que le pidan? MATEO 7,11b"
4,5,"Vuestro Padre celestial sabe que tenéis necesidad de todas estas cosas. MATEO 6,32"
5,5,"Lo haré, para que el Padre sea glorificado en el Hijo. JUAN 14,13"
6,5,"Temed a Jehová, vosotros sus santos ,pues nada falta a los que le temen. SALMO 34,9"
7,5,"No he visto justo desamparado ,ni su descendencia que mendigue pan. SALMO 37,25"
8,5,"Por el vestido ,¿Por qué os afanáis? Considerad los liríos del campo, cómo crecen:no trabajan ni hilan. MATEO 6,28"
9,5,"Plantados en la casa de Jehová, en los atrios de nuestro Dios florecerán. SALMOS 92,13"
10,5,"Los que buscan a Jehová no tendrán falta de ningún bien . SALMOS 34,10"
11,5,"Si algo pidiereis en mi nombre, yo lo haré. JUAN 14,14"
12,5,"Todo cuanto pidiereis al Padre en mi nombre, os lo dará. JUAN 16,23"
13,5,"Yo derramaré aguas sobre el sequedal, y ríos sobre la tierra árida.ISAIAS 44,3"
14,5,"Poderoso es Dios para hacer que abunde en vosotros toda gracia…2 CORINTIOS 9,8a"
15,5,"…a fin de que ,teniendo siempre en todas las cosas todo lo suficiente,abundéis para toda buena obra. 2 CORINTIOS 9,8b"
16,5,"En las alturas abriré ríos, y fuentes en medio de los valles; abriré en el desierto estanques de aguas, y manantiales de aguas,y manantiales de aguas en la tierra seca. ISAÍAS 41,18"
17,5,"Cualquier cosa que pidiéremos la recibiremos de él, porque guardamos sus mandamientos. 1 JUAN 5,14"
18,5,"Si pedimos alguna cosa conforme a su voluntad,él nos oye. 1 JUAN 5,14 "
19,5,"Por tanto , os digo que todo lo que pidiereis orando, creed que lo recibiréis , y os vendrá. MARCOS 11,24"
20,5,"Contentos con lo que tenéis ahora ; porque él dijo: No te desampararé, ni te dejaré. HEBREOS 13,5"
21,5,"Mi Dios , pues, suplirá todo lo que os falta conforme a sus riquezas en gloria en Cristo Jesús. FILIPENSES 4,19"
22,5,"Es poderoso para hacer todas las cosas muchas más abundantemenete de lo que pedimos o entendemos. 3,20"
23,5,"Haré descender la lluvia en su tiempo; lluvias de bendición serán. EZEQUIEL 34,26"
24,5,"Repartió, dio a los pobres; su justicia permanece para siempre. 2 CORINTIOS 9,9"
25,5,"Porque todo aquel que pide, recibe. LUCAS 11,10"
26,5,"Aun en la vejez fructificarán . SALMOS 92,14"
27,5,"En el monte de Jehová será provisto. GÉNESIS 22,14"
28,5,"Haré descender la lluvia en su tiempo; lluvias de bendición serán. EZEQUIEL 34,26"
29,5,"¿Cómo no nos dará también con él todas las cosas? ROMANOS 8,32"
30,5,"Pedid ,y se os dará buscad , y hallaréis , llamad, y se os abrirá. MATEO 7,7"
31,5,"Si algo pidiereis en mi nombre, yo lo haré. JUAN 14,14"
1,6,"Por medio de él se os anuncia perdón de pecados. HECHOS 13,38"
2,6,"Y él es la propiciación por nuestros pecados. 1 JUAN 2,2"
3,6,"Al corazón contrito y humillado no despreciarás tú,oh Dios. SALMOS 51,17"
4,6,"Si hubiere cometido pecados, le serán perdonados. SANTIAGO.5,15"
5,6,"Porque tú, Señor , eres bueno y perdonador.SALMOS 86,5"
6,6,"(Sed) Misericordiosos, perdónandoos unos a otros, como Dios también os perdonó a vosotros . EFESIOS 4,32"
7,6,"Yo deshice como una nube tus rebeliones, y como niebla tus pecados. ISAÍAS 44,22"
8,6,"Si vuestros pecados fueren como grana , como la nieve serán emblaquecidos. ISAÍAS 1,18"
9,6,"Bendito sea Dios, que no echó de sí mi oración , ni de mí su misericordia. HECHOS 3,19"
10,6,"Arrepentíos y convertíos, para que sean borrados vuestros pecados. HECHOS 3,19"
11,6,"Me buscaréis y me hallaréis, porque me buscaréis de todo vuestro corazón. JEREMIAS 29,13"
12,6,"¿Qué Dios como tú, que perdona la maldad , y olvida el pecado del remanente de su heredad ? MIQUEAS 7,18"
13,6,"Acerquémonos, pues, confiadamente al trono de la gracia, para alcanzar misericordia y hallar gracia. HEBREOS 4,16"
14,6,"Bienaventurado aquel cuya transgresión ha sido perdonada, y cubierto su pecado. SALMOS 32,1"
15,6,"No he venido a llamar a justos, sino a pecadores al arrepentimiento . LUCAS 5,32"
16,6,"Nunca más me acordaré de us pecados y de sus inquidades HEBREOS 8,12"
17,6,"Porque Dios misericordioso es Jehová tu Dios . DEUTERONOMIO 4,31"
18,6,"Porque misericordioso es clemente , tardo para la ira y grande en misericordia. JOEL 2,13"
19,6,"De la manera que Cristo os perdonó, así también hacedlo vosotros. COLOSENSES 3,13"
20,6,"En quien tenemos redención por su sangre , el perdón de pecados. COLOSENSES 1,14"
21,6,"( En Cristo ) tenemos redención por su sangre, el perdón de pecados según las riquezas de su gracia. EFESIOS 1,7"
22,6,"Arrepentíos, y bautícese cada uno de vosotros en el nombre de Jesucristo para perdón de los pecados. HECHOS 2,38"
23,6,"Vuélvase a Jehova , el cual tendrá de él misericordia, y al D ios nuestro, el cual será amplio en perdonar. ISAIAS 55,7"
24,6,"Porque si perdonáis a los hombres sus ofensas, os perdonará también a vosotros vuestro Padre celestial . MATEO 6,14"
25,6,"Si confesamos nuestro pecados,él es fiel y justo para perdonar nuetros pecados , y limpiarnos de toda maldad . 1 JUAN 1,9"
26,6,"( Si ) buscaren mi rostro, y se convirtieren de us malos caminos ; entonces yo oiré desde los cielos , y perdonarésus pecados . 2 CRÓNICAS 7,14"
27,6,"El que encubre sus pecados no prosperará. PROVERBIOS. 28,13"
28,6,"Nos lavó de nuestros pecados con su sangre. APOCALIPSIS. 1,5"
29,6,"Tú perdonaste la maldad de mi pecado. SALMOS 32,5"
30,6,"Él es nuestra paz. EFESIOS 2,14"
1,7,"Yo tambièn lo librarè; le pondrè en alto, por cuanto ha conocido mi nombre. SALMOS 91.14"
2,7,"El pecado no se enseñorearà de vosotros ; pues no estàis bajo la ley, sino bajo la gracia. ROMANOS 6.14"
3,7,"Y el Señor me librarà de toda obra mala.2 TIMOTEO 4.18"
4,7,"Y libertados del pecado, vinisteis a ser siervos de la justicia. ROMANOS 6.18"
5,7,"Como està escrito: Vendrà de Sion el Libertador. ROMANOS 11.26"
6,7,"Mas cuando el pecado abundò, sobreabundò la gracia. ROMANOS 5.20"
7,7,"Habès sido libertados del pecado y hechos siervos de Dios. ROMANOS 6.22"
8,7,"¡Miserable de mi! ¿quièn me librarà de este cuerpo de muerte ? ROMANO 7.24"
9,7,"No reine, pues , el pecado en vuestro cuerpo mortal. ROMANOS 6.12"
10,7,"Busquè a Jehovà, èl me oyò, y me librò de todos mis temores. SALMOS 34.4"
11,7,"( Cristo librò) a todos los que por el temor de la muerte estaban durante toda la vida sujetos a servidumbre . HEBREOS 2.15"
12,7,"Pero ahora estamos libres de la ley, por haber muerto para aquella en que estàbamos sujetos. ROMANOS 7.6"
13,7,"Nos librò, y nos libra, y en quien esperamos que aùn nos librarà, de tan gran muerte. 2 Corintios 1.10"
14,7,"Porque el Señor es el Espìritu ; y donde està el Espìritu del Señor, allì hay libertad. 2 CORINTIOS 34.6"
15,7,"Este pobre clamò, y le oyò Jehovà , y lo librò de todas sus angustias. SALMOS 34.6"
16,7,"Porque la ley del Espiritu de vida en Cristo Jesùs me ha librado de la ley del pecado y de la muerte . ROMANOS 8.2"
17,7,"Pues en cuando èl mismo padeciò siendo tentado, es poderoso para socorrer a los que son tentados. HEBREOS 2.18"
18,7,"Muchas son las aflicciones del justo , pero de todas ellas le librarà Jehovà. SALMOS 34.19"
19,7,"Entonces clamaron a Jehovà en su angustia, y los librò de sus aflicciones. SALMOS 107.6"
20,7,"Y andarè en libertad,porque busquè tus mandamientos. SALMOS 119.45"
21,7,"Enviò su palabra, y los sanò, y los librò de su ruinas.SALMOS 107.20"
22,7,"Y concerèis la verded , y la verdada os harà libres. JUAN 8.32"
23,7,"Asì que ,si el Hijo os libertare, serèis verdaderamente libres. JUAN 8.36"
24,7,"Me ha enviado… a publicar libertad a los cautivos, y a los presos apertura dela càrcel. ISASÌAS 61.1"
25,7,"Me ha enviado… a poner en libertad a los oprimidos. LUCAS 4.19"
26,7,"Jesùs , quien nos libra de la ira venidera. 1TESALONICENSES 1.10"
27,7,"Se dìo a sì mismo por nuestro pecados para librarnos . GÀLATAS 1.4"
28,7,"Porque vosotros , hermanos, a libertad fuiteis llamados …GÀLATAS 5.13a"
29,7,"… solamente que no usèis la libertad como ocasiòn para la carne. GÀLATAS 5.13b"
30,7,"Asì fui librado de boca del leòn. 2 TIMOTEO 4.17"
31,7,"Te librarè, y tù me honraràs . SALMOS 50.15"
1,8,"Por lo cual puede tambièn salvar perpetuamente a los que por èl se acercan a Dios. HEBREOS 7.25"
2,8,"Me gozarè en el Dios de mi salvaciòn . HABACUC 3.18"
3,8,"Porque no enviò Dios a su Hijo al mundo para condenar al mundo. JUAN 3.17"
4,8,"Nos dio vida juntamente con Cristo ( por gracia sois salvo ) EFESIOS 2.5"
5,8,"El que oye mi palabra ;y cree al que me enviò,tiene vida eterna. JUAN 5.24"
6,8,"Cree en el Señor Jesucristo , y seràs salvo , tù y tu casa. HECHOS 16.31"
7,8,"Yo soy la resurrecciòn y la vida ; el que cree en mì , aunque estè muerto, vivirà. JUAN 11.25"
8,8,"Todo aquel que invocare el nombre del Señor , serà salvo. ROMANOS10.13"
9,8,"Me diste asimismo el escudo de tu salvaciòn . SALMOS 18.35"
10,8,"En tu salvaciòn, ¡còmo se goza ! SALMOS 21.1"
11,8,"De èl viene mi salvaciòn. SALMOS 62.1"
12,8,"En nungùn otro hay salvaciòn.HECHOS 4.12"
13,8,"Lo saciarè de larga vida , y le mostrarè mi salvaciòn. SALMOS 91.16"
14,8,"Porque el Hijo del Hombre vino a buscar y a salvar lo que se habìa perdido . LUCAS 19.10"
15,8,"Ha dado a su hijo unigènito , para que todo aquel que en èl cree, no se pierda , mas tenga vida eterna. JUAN 3.16"
16,8,"Os he escrito a vosotros que creèis en el nombre del Hijo de Dios ,para que sepàis que tenèis vida eterna. 1 JUAN 5.13"
17,8,"Porque la gracia de Dios se ha manifestado para salvaciòn a todos los hombres. TITO 2.11"
18,8,"Dios nuestro salvador, y ( el ) Señor Jesucristo nuestra esperanza . 1 TIMOTEO 1.1"
19,8,"Sois guardados por el poder de Dios mediante la fe , para alcanzar la salvaciòn.1PEDRO 1.5"
20,8,"(Alma mìa ), espera en Dios ; porque aùn he de alabarte, salvaciòn mìa y Dios mìo. SALMOS 42.11"
21,8,"Si confesares con tu boca que jesùs es el Señor , y creyeres en tu corazòn que Dios le levantò de los muertos, seràs salvo. ROMANOS 10.9"
22,8,"Esta es la promesa que èl nos hizo,la vida eterna. JUAN 6.47"
23,8,"Yo soy la puerta; el que por mì entrare , serà salvo. JUAN 10.9"
24,8,"En Dios es mi salvaciòn y mi gloria. SALMOS 62.7"
25,8,"Sino para que el mundo sea salvo por èl . JUAN 3.17"
26,8,"El que cree en mì , tiene vida eterna . JUAN 6.47"
27,8,"Por gracia sois salvos por medio de la fe . EFESIOS 2.8"
28,8,"Pero la salvaciòn de los justos es de Jehovà. SALMOS 37.39"
29,8,"He aquì Dios es salvaciòn mìa. ISAÌAS 12.2"
30,8,"Me salvarà tu diestra . SALMOS 138.7"
31,8,"Yo les doy vida eterna . JUAN 10.28"
1,9,"En el dìa de mi angustia te llamarè, porque tù me respondes. SALMOS 86.7"
2,9,"Bàstate mi gracia ; porque mi poder se perfecciona en la debilidad. 2CORINTIOS 12.9"
3,9,"Este pobre clamò , y le oyò Jehovà , y lo librò de todas sus angustias .SALMOS 34.6"
4,9,"Padre de misericordias y Dios de toda consolaciòn. 2 CORINTIOS 1.3"
5,9,"Tù, que me has hecho ver muchas angustìas y males, volveràs a darme vida . SALMOS 71.20"
6,9,"En mi angustia invoquè a jehovà, y clamè a Dios .Èl oyò mi voz. SALMOS 118.5"
7,9,"Cuando estaba en angustia, tù me hiciste ensanchar ; ten misericordia de mì . SALMOS 4.1 "
8,9,"A Jehovà clamè estando en angustia, y èl me respondiò. SALMOS 120.1"
9,9,"Claman los justos, y Jehovà oye, y los libra de todas sus angustias. SALMOS 34.17"
10,9,"Aumentaràs mi grandeza, y volveràs a consolarme. SALMOS 71.21"
11,9,"Aunque mi padre y mi madre me dejaron , con todo, Jehovà me recogerà. SALMOS 27.10"
12,9,"Jehovà lo sustentarà sobre el lecho del dolor. SALMOS 41.3"
13,9,"Desde la angustia invoquè a JAH ,y me respondiò. SALMOS 118.5"
14,9,"Mi consuelo en mi aflicciòn. SALMOS 119.50"
15,9,"Tus consolaciones alegraban mi alma . SALMO 94,19"
16,9,"Yo, yo soy vuestro consolador. ISAÌAS 51.12"
17,9,"Yo nunca me olvidarè de ti. ISAÌAS 49.15"
18,9,"Dios, que consuela a los humildes, nos consolò. 2 CORINTIOS 7.6"
19,9,"Mas el consolador, el Espìritu Santo , a quien el Padre enviarà en mi nombre , èl os enseñarà todas las cosas. JUAN 14.26"
20,9,"Y yo rogarè al Padre, y os darà otro Consolador , para que estè con vosotros para siempre. JUAN 14.16"
21,9,"Entonces clamaron a Jehovà en su angustia, y los librò de sus aflicciones. SALMOS 107.6"
22,9,"Las afliccones del tiempo presente no son comparables con la gloria venidera. ROMANOS 8.18"
23,9,"Gozosos en la esperanza;sufridos en la tribulación;constantes en la oración.ROMANOS 12,12"
24,9,"Por la paciencia y la cosolaciòn de la Escrituras,tengamos esperanza. ROMANOS 15.4"
25,9,"Sabemos que asì como sos compañeros en las aflicciones , tambièn lo sois en la consolaciòn . 2 CORINTIOS 1.7"
26,9,"A Jehovà tu Dios , lo hallaràs , si lo buscares de todo tu corazòn y toda tu alma. DEUTERONOMIO 4.29"
27,9,"Y he aquì yo estoy con vosotros todos los dìas, hasta el fin del mundo. MATEOS 28.20"
28,9,"Jehovà es bueno , fortaleza en el dìa de la angustìa ; y conoce a los que en èl confìan. NAHÙM 1.7"
29,9,"Como aquel a quien consuela su madre , asì os consolarè yo a vosotros. ISAÌAS 66.13"
30,9,"Has visto mì aflicciòn; has conocido mi alma en las angustias. SALMOS 31.7"
1,10,"Nos da la victoria por medio de nuestro Señor Jesucristo. 1 CORINTIOS 15.57"
2,10,"Los exhibiò pùblicaamente, triunfaando sobre ellos en laa cruz. COLOSENSES 2.15"
3,10,"Estos confìaan en carros , y aquèllos en caballos; mas nosotros del nombre de Jehovà nuestro Dios. SALMOS 20.7"
4,10,"Todas las cosas les ayudan a bien , esto es, a los que conforme asu propòsito son llamados . ROMANOS 8.28"
5,10,"Prosigo a la meta , al premio del supremo llamamiento de Dios en Cristo Jesùs. FILIPENSES 3.14"
6,10,"Mas a Dios gracias, el cual nos lleva siempre en triunfo en Cristo Jesùs. 2 CORINTIOS 2.14"
7,10,"Perseguidos,mas no desamparados; derribaados,pero no destruidos. 2 CORINTIOS 4.9"
8,10,"Por amor a Cristo me gozo en las debilidades , …porque cuando soy débil,entonces soy fuerte .2CORINTIOS12,10"
9,10,"Porque todo lo que es nacido de Dios vence al mundo; y esta es la victoria que ha vencido al mundo, nuestra fe. 1 JUAN 5.4"
10,10,"El caballo se alista para el dìa de la batalla; mas Jehovà es el que da la victoria. PROVERBIOS 21.31"
11,10,"En Dios haremos proezas, y èl hollarà a nuestros enemigos. SALMOS 60.12"
12,10,"Pues tù nos has guardado de nuestros enemigos. SALMOS 44.7"
13,10,"No es vuestra la guerra , sino de Dios. 2 CRONICAS 20.15"
14,10,"La diestra de Jehovà haace proezas. SALMOS 118.15"
15,10,"Cantarè yo a Jehovà, porque se ha magnificado grandemente. EXODO 15.1"
16,10,"Yo he entregado en tu mano a Jericò y a su rey, con sus varones de guerra. JOSUÈ. 6.2"
17,10,"La palabra de Dios permanece en vosotros y habèis vencido al maligno. 1 JUAN 2.14"
18,10,"No tengas temor de ellos, porque Jehovà tu Dios està contigo . DEUTERONOMIO 20.1"
19,10,"Jehovà tronò aquel dìa con gran estruendo sobre los filisteos,… y fueron vencidos delante de Israel. 1 SAMUEL 7.10"
20,10,"Y sabrà toda esta congregaciòn que Jehovà no salva con espada y con lanza; porque de Jehovà es la batalla. 1 SAMUEL 17.47"
21,10,"Vosostros sois de Dios y los habèis vencido, porque mayor es el que està en vosotros que el que està en el mundo 1 JUAN 4.4"
22,10,"Obrò con valentia derrotando a los amalecitas, y librò a Israel de manos de los que lo saqueaban. 1SAMUEL 14.48"
23,10,"¿Quién es el que vence aal mundo,sino el que cree que Jesùs es el Hijo de Dios?1 JUAN 5.5"
24,10,"No seas vencido de lo malo, sino vence con el bien el mal . ROMANOS 12.21"
25,10,"El Leòn de la tribu de Judà, la Raìz de David, ha vencido. APOCALIPSIS 5.5"
26,10,"Jehovà de los ejèrcitos los ampararà. ZACARÌAS 9.15"
27,10,"Somos màs que vencedores por medio de aquel que nos amò. ROMANOS 8.37"
